	Authors	Title	Citation	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	SUM  Completed	Other Journals	Publication Rate	Duration of Career	highest_degree	degree_area	Lab Size	Affiliation University	Rank	Temperature	Anomaly	County	Locale	State	R&D Rank	Percentile	R&D Expenditures
10	Yan Zhang, Lei Shan, Yaping Hua, Dan Wang, Huawu Zeng, Runhui Liu, Weidong Zhang, Zhenlin Hu	Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69592	10.1371/journal.pone.0069592	2013	7-Jul			1.0		two sets of duplicated facs panels but different percentages gated points	1	1/26/15		1.0		1	[['Br J Surg', 'Endocrine', 'Nat Commun'], ['Lancet', 'Diagn Pathol', 'Lancet Gastroenterol Hepatol'], ['Biomedicines', 'Pharmacol Res Perspect', 'Biochem Pharmacol'], ['N Engl J Med', 'Nat Commun', 'J Int Soc Sports Nutr'], ['Phytomedicine', 'Pharmacol Res', 'Phytochemistry'], ['ChemMedChem', 'Biomater Sci', 'Acta Biomater'], ['Trends Cancer', 'Int J Infect Dis', 'Front Pharmacol'], ['Sheng Wu Gong Cheng Xue Bao', 'Front Pharmacol', 'Anal Chim Acta']]	[11.76, 11.11, 0.82, 28.57, 1.95, 7.8, 22.22, 3.6]	17	-1	-1	7	School of Pharmacy, Second Military Medical University, Shanghai, China	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
11	Zhongpu Chen, Xiaodong Pan, Yuyu Yao, Fengdi Yan, Long Chen, Rong Huang, Genshan Ma	Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69134, doi:10.1371/journal.pone.0069134	10.1371/journal.pone.0069134	2013	7-Jul			1.0		overlapping microscopy images	1	7/23/14		1.0		1	[['Drug Des Devel Ther', 'Clin Lab', 'J Cell Physiol'], ['Redox Biol', 'Mol Metab', 'Int J Environ Res Public Health'], ['World J Diabetes', 'Nanotechnology', 'Nano Lett'], ['Hum Gene Ther', 'Heart Lung Circ', 'PLoS One'], ['Lancet Infect Dis', 'Diabetes', 'Nat Commun'], ['Nat Metab', 'J Pineal Res', 'Front Oncol'], ['N Engl J Med', 'Lancet', 'Hellenic J Cardiol']]	[1.89, 6.7, 5.44, 2.0, 25.0, 40.0, 10.53]	9	-1	-1	7	Department of Cardiology, Zhongda Hospital, Medical School of Southeast University, Nanjing, Jiangsu, China	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12	Akrem Abdulsid, Alexander Fletcher, Fiona Lyall	Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor	PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127	10.1371/journal.pone.0071127	2013	8-Aug				1	reuse of 2 bands multiple times to create blot panel	1		1.0			1	[['J Reprod Immunol', 'PLoS One', 'Pregnancy Hypertens'], ['Philos Trans R Soc Lond B Biol Sci', 'Trends Cardiovasc Med', 'Br J Radiol'], ['J Reprod Immunol', 'Pregnancy Hypertens', 'Cardiovasc Intervent Radiol']]	[1.0, 3.52, 1.55]	6	PhD	-1	3	University of Glasgow School of Medicine, Institute of Medical Genetics, Yorkhill Hospital, Glasgow, United Kingdom	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
13	Fang Liu, A. Jesse Gore, Julie L. Wilson, Murray Korc	DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine	PLOS ONE, January 2014 | Volume 9 | Issue 1 | e84982	10.1371/journal.pone.0084982	2014	1-Jan			1.0		duplicated, and mirrored blots	1	9/15/14		1.0		1	[['Carbohydr Polym', 'Nat Methods', 'Phys Rev Lett'], ['PLoS One', 'Reprod Biol Endocrinol', 'Endocrinology'], ['Oncotarget', 'PLoS One'], ['Nat Rev Dis Primers', 'Lancet Gastroenterol Hepatol', 'Diabetes']]	[16.67, 0.83, 1.0, 6.82]	12	-1	-1	4	Departments of Medicine, Biochemistry and Molecular Biology, Indiana University School of Medicine, The Melvin and Bren Simon Cancer Center and the Center for Pancreatic Cancer Research, Indianapolis, Indiana, United States of America	101	51.5	1.4	Marion County	11	IN	-1	-1	-1
14	Jagannath Misra, Dipanjan Chanda, Don-Kyu Kim, Seung-Rye Cho, Seung-Hoi Koo, Chul- Ho Lee, Sung Hoon Back, Hueng-Sik Choi	Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH	PLOS One, January 2014 | Volume 9 | Issue 1 | e86342	10.1371/journal.pone.0086342	2014	1-Jan		1.0			duplicated (negative) western blot	1	5/6/15		1.0		1	[['Trends Endocrinol Metab', 'Methods Mol Biol', 'Nucleic Acids Res'], ['Prostaglandins Leukot Essent Fatty Acids', 'FEBS Lett', 'Cytokine Growth Factor Rev'], ['Autophagy', 'Trends Endocrinol Metab', 'Insect Biochem Mol Biol'], ['Osong Public Health Res Perspect', 'J Med Virol', 'Infect Chemother'], ['Exp Mol Med', 'Autophagy', 'Science'], ['Cell Metab', 'Autophagy', 'Nanoscale'], ['Nat Cell Biol', 'Gut', 'Autophagy'], ['Cell Metab', 'J Clin Invest', 'Nucleic Acids Res']]	[0.83, 1.8, 6.87, 0.89, 4.35, 10.0, 2.4, 8.43]	12	-1	-1	5	National Creative Research Initiatives Center for Nuclear Receptor Signals, Hormone Research Center, School of Biological Sciences and Technology, Chonnam National University, Gwangju, Republic of Korea	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15	Trent Fowler, Payel Ghatak, David H. Price, Ronald Conaway, Joan Conaway, Cheng-Ming Chiang, James E. Bradner, Ali Shilatifard, Ananda L. Roy	Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells	PLOS One, January 2014 | Volume 9 | Issue 1 | e87003	10.1371/journal.pone.0087003	2014	1-Jan			1.0		duplicated, and stretched blot	1	4/22/15		1.0		1	[['Mol Cell', 'Genom Data', 'J Gen Virol'], ['PLoS One'], ['Genome Biol', 'BMC Mol Cell Biol', 'Annu Rev Biochem'], ['Cell', 'Cell Rep', 'Nature'], ['Cell', 'Cell Rep', 'Nature'], ['Mol Cell', 'Nat Commun', 'Nucleic Acids Res'], ['Cell', 'Nat Chem Biol', 'Nature'], ['Sci Adv', 'Nat Genet', 'Am J Respir Crit Care Med'], ['Mol Biol Cell', 'DNA Repair (Amst)', 'Cell']]	[0.69, 0.57, 3.2, 5.15, 5.14, 4.0, 11.11, 10.0, 2.2]	13	-1	-1	3	Department of Developmental, Molecular and Chemical Biology, Tufts University School of Medicine, Boston, Massachusetts, United States of America	124	47.6	3.3	Middlesex County	21	MA	-1	-1	-1
16	Mojca Jez, Sakthikumar Ambady, Olga Kashpur, Alexandra Grella, Christopher Malcuit, Lucy Vilner, Primoz Rozman, Tanja Dominko	Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells	PLOS One, February 2014 | Volume 9 | Issue 2 | e89546	10.1371/journal.pone.0089546	2014	2-Feb	1.0		1.0		Duplicated, and shifted GAPDH gel panel	1	7/28/14		1.0		1	[['J Cell Physiol', 'Transfusion', 'Lab Anim'], ['IEEE Eng Med Biol Mag', 'Cytoskeleton (Hoboken)', 'Genesis'], ['FASEB J', 'Curr Stem Cell Rep', 'Exp Neurol'], ['Cytoskeleton (Hoboken)', 'J Cell Biochem', 'PLoS One'], ['J Cell Physiol', 'Adv Exp Med Biol', 'Dev Ophthalmol'], ['Proc Natl Acad Sci U S A', 'Science', 'PLoS One'], ['Cytokine Growth Factor Rev', 'Int Immunopharmacol', 'Front Immunol'], ['Acta Pharm Sin B', 'Rejuvenation Res', 'Cell Mol Life Sci']]	[0.9, 0.44, 1.0, 0.5, 1.57, 0.38, 1.96, 1.4]	10	PhD	-1	2	Blood Transfusion Centre of Slovenia, Ljubljana, Slovenia	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
17	Zhenni Zhang, Jianrui Lv, Xiaoming Lei, Siyuan Li, Yong Zhang, Lihua Meng, Rongliang Xue, Zongfang Li	Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway	PLOS One, February 2014 | Volume 9 | Issue 2 | e90318	10.1371/journal.pone.0090318	2014	2-Feb			1.0		Mirrored blot panels representing different proteins	1	7/25/16	1.0			1	[['Proc Natl Acad Sci U S A', 'Aging (Albany NY)', 'Front Cell Dev Biol'], ['J Gastroenterol Hepatol', 'Aging (Albany NY)', 'J Anesth'], ['J Anesth', 'Biochem Biophys Res Commun', 'Int Immunopharmacol'], ['J Exp Med', 'Curr Opin Ophthalmol', 'Adv Mater'], ['Nat Cell Biol', 'Nature', 'Nucleic Acids Res'], ['iScience', 'Ann Transl Med', 'Evol Bioinform Online'], ['Life Sci', 'Neurosci Lett', 'Neural Regen Res'], ['Mol Immunol', 'Cell Death Differ', 'J Hematol Oncol']]	[1.68, 2.21, 1.71, 13.33, 11.76, 1.44, 1.75, 9.52]	19	-1	-1	7	Anesthesia Department, the Second Affiliated Hospital, School of Medicine, Xi'an Jiaotong University, Xi'an, P. R. China	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
18	Christophe Broca,  Elodie Varin, Mathieu Armanet, Cï¿½cile Tourrel-Cuzin, Domenico Bosco,  Stï¿½phane Dalle, Anne Wojtusciszyn	Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets	PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92066	10.1371/journal.pone.0092066	2014	3-Mar			1.0		duplicated/reused actin blot panels	1	7/7/14		1.0		1	[['J Allergy Clin Immunol', 'Sci Transl Med', 'Nat Commun'], ['Can J Diabetes', 'Curr Mol Pharmacol', 'Nat Commun'], ['Mol Metab', 'Diabetes Metab', 'FASEB J'], [], ['Nature', 'Nat Commun', 'Recenti Prog Med'], ['Ann Dermatol Venereol', 'Rev Infirm', 'J Affect Disord'], ['J Transl Med', 'Rev Med Suisse', 'J Clin Med']]	[1.06, 1.36, 1.56, -1, 9.52, 2.78, 3.33]	18	-1	-1	4	CNRS UMR 5203, INSERM U661, and Montpellier 1 & 2 University, Institute of Functional Genomics, Montpellier, France	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
19	Sylwia Flis, Agnieszka Gnyszka, Krzysztof Flis	DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells	PLOS One, March 2014 | Volume 9 | Issue 3 | e92305	10.1371/journal.pone.0092305	2014	3-Mar			1.0		Duplicated lanes within different panels - but representing same conditions	1	8/18/14		1.0		1	[['Drug Des Devel Ther', 'Anticancer Res', 'Eur J Pharmacol'], ['Anticancer Res', 'Biochem Biophys Res Commun', 'Eur J Pharmacol'], ['Traffic', 'Genes (Basel)', 'Int J Biochem Cell Biol']]	[1.15, 0.83, 0.74]	13	PhD	-1	2	Department of Pharmacology, National Medicines Institute, Warsaw, Poland	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20	Takaharu Nakayoshi, Ken-ichiro Sasaki, Hidemi Kajimoto, Hiroshi Koiwaya, Masanori Ohtsuka, Takafumi Ueno, Hidetoshi Chibana, Naoki Itaya, Masahiro Sasaki, Shinji Yokoyama, Yoshihiro Fukumoto, Tsutomu Imaizumi	FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augments Their Neovascularization Capacities in Ischemic Limbs	PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92626	10.1371/journal.pone.0092626	2014	3-Mar			1.0		Mirrored microscopy image	1	4/27/15		1.0		1	[['N Engl J Med', 'Eur Heart J Case Rep', 'J Cardiol'], ['J Cardiol', 'Circ J', 'Nihon Rinsho'], ['Circ J', 'Clin Exp Hypertens', 'Epigenetics Chromatin'], ['Eur Heart J', 'Eur Heart J Qual Care Clin Outcomes', 'Circ Rep'], ['Cytokine', 'Intern Med', 'Int J Cardiol Heart Vasc'], ['N Engl J Med', 'Circulation', 'Curr Opin Struct Biol'], ['J Thorac Dis', 'Nihon Rinsho', 'Int J Cardiol Heart Vasc'], ['J Nucl Cardiol', 'Nihon Rinsho', 'Heart Vessels'], ['Mol Cell Endocrinol', 'JAMA Neurol', 'J Plast Reconstr Aesthet Surg'], ['J Atheroscler Thromb', 'Arterioscler Thromb Vasc Biol', 'FEBS Lett'], ['Circulation', 'Eur Heart J', 'Nutrients'], ['Mini Rev Med Chem', 'Nihon Rinsho', 'Curr Pharm Des']]	[1.44, 2.7, 1.85, 1.85, 1.18, 6.67, 1.82, 1.5, 5.15, 6.86, 10.0, 9.52]	18	-1	Internal Medicine	10	Division of Cardio-Vascular Medicine, Department of Internal Medicine, Kurume University School of Medicine, Fukuoka, Japan	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21	Yuri Churin, Martin Roderfeld, Johannes Stiefel, Tilman Wu r_ ger, Dirk Schro __ er, Tomomitsu Matono, Hans-Joachim Mollenkopf, Roberta Montalbano, Malvika Pompaiah, Kurt Reifenberg5, Daniel Zahner, Matthias Ocker, Wolfram Gerlich, Dieter Glebe, Elke Roeb	Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background	PLOS One, March 2014 | Volume 9 | Issue 3 | e90608	10.1371/journal.pone.0090608	2014	3-Mar	1.0	1.0			Duplicated actin blot panel but different experiments, cuts in panels	1	5/1/15		1.0		1	[['Hepatobiliary Surg Nutr', 'Cell Mol Gastroenterol Hepatol', 'Cells'], ['Cells', 'Matrix Biol', 'Hepatobiliary Surg Nutr'], ['PLoS One'], [], [], ['Mol Clin Oncol', 'Lab Invest', 'Yonago Acta Med'], ['EMBO Mol Med', 'Nat Cell Biol', 'Gastroenterology'], ['Curr Pharm Biotechnol', 'Cell Oncol', 'Oncotarget'], ['FEBS J', 'Elife', 'Curr Top Microbiol Immunol'], ['BMJ', 'J Neural Transm (Vienna)', 'Am Psychol'], ['Oncotarget', 'Pediatr Rheumatol Online J', 'Med Sci Monit'], ['Cancers (Basel)', 'Eur J Pharmacol', 'World J Gastroenterol'], ['Virol J', 'J Hepatol', 'Z Gastroenterol'], ['Lancet Gastroenterol Hepatol', 'Methods', 'J Hepatol'], ['Z Gastroenterol', 'Dtsch Arztebl Int', 'Front Pharmacol']]	[1.4, 3.25, 1.0, -1, -1, 3.43, 4.1, 2.0, 0.75, 2.74, 0.88, 5.62, 4.0, 5.0, 4.05]	20	Doctor of Philosophy	-1	7	Department of Gastroenterology, Justus Liebig University, Giessen, Germany	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
